adjective,category,created_at,id,modifier,name,price
rechargable,mechanism,1/21/2014 13:08,2601,cleaner,rechargable mechanism cleaner,11.7
digital,tool,1/26/2014 12:45,1007,,digital tool,27.5
industrial-strength,mechanism,1/17/2014 3:01,2114,charger,industrial-strength mechanism charger,9
reflective,instrument,1/11/2014 2:00,2627,,reflective instrument,57.2
digital,instrument,5/16/2013 3:58,979,storage_unit,digital instrument storage_unit,121
prize-winning,gadget,3/19/2013 16:32,2178,warmer,prize-winning gadget warmer,107.69
reflective,gadget,4/20/2013 3:43,864,how-to-manual,reflective gadget how-to-manual,0
fuzzy,mechanism,8/23/2013 11:47,2153,,fuzzy mechanism,15
organic,device,6/14/2013 2:24,2121,,organic device,75
reflective,module,3/19/2013 1:05,3904,opener,reflective module opener,65
analog,module,9/20/2013 9:57,3984,,analog module,90
digital,instrument,3/27/2013 9:27,1648,warmer,digital instrument warmer,53.24
fuzzy,gadget,8/24/2013 19:01,2479,storage_unit,fuzzy gadget storage_unit,222.5
extra-strength,mechanism,1/2/2014 12:47,2531,,extra-strength mechanism,30
,instrument,11/29/2013 18:12,586,,instrument,44
extra-strength,instrument,2/5/2014 5:32,224,warmer,extra-strength instrument warmer,96.8
aerodynamic,dongle,6/9/2013 9:07,2062,,aerodynamic dongle,42
digital,module,7/29/2013 8:26,3610,,digital module,110
miniature,tool,12/11/2013 6:55,1205,carrying_case,miniature tool carrying_case,8.25
digital,tool,8/5/2013 8:10,1585,,digital tool,27.5
reflective,dongle,3/14/2013 7:38,1315,carrying_case,reflective dongle carrying_case,23.4
organic,mechanism,8/4/2013 21:32,1368,wrapper,organic mechanism wrapper,9
aerodynamic,widget,4/8/2013 9:29,703,wrapper,aerodynamic widget wrapper,1.68
fuzzy,tool,8/20/2013 5:59,2207,wrapper,fuzzy tool wrapper,10
,contraption,1/31/2014 10:45,1979,storage_unit,contraption storage_unit,625
extra-strength,gadget,2/22/2014 11:46,3668,wrapper,extra-strength gadget wrapper,71.2
reflective,instrument,1/15/2014 6:20,3276,charger,reflective instrument charger,11.44
rechargable,contraption,7/5/2013 9:50,1814,cleaner,rechargable contraption cleaner,195
matte,contraption,9/9/2013 10:50,279,,matte contraption,312.5
analog,apparatus,12/14/2013 10:49,3479,,analog apparatus,270
,device,7/10/2013 3:15,1976,,device,50
matte,gadget,5/19/2013 23:35,3212,,matte gadget,111.25
analog,tool,11/11/2013 17:29,3728,warmer,analog tool warmer,24.75
aerodynamic,module,2/6/2014 3:14,2837,,aerodynamic module,140
fuzzy,apparatus,9/30/2013 17:37,920,opener,fuzzy apparatus opener,150
prize-winning,module,7/17/2013 4:55,478,,prize-winning module,110
fuzzy,widget,6/29/2013 5:34,3928,,fuzzy widget,3
organic,contraption,9/24/2013 13:09,690,storage_unit,organic contraption storage_unit,937.5
glossy,tool,10/16/2013 4:35,1198,opener,glossy tool opener,15
,apparatus,12/17/2013 23:54,3507,,apparatus,300
,instrument,4/11/2013 1:15,2438,,instrument,44
,apparatus,1/30/2014 14:01,1474,opener,apparatus opener,150
glossy,contraption,4/8/2013 6:44,3109,,glossy contraption,300
rechargable,gadget,8/25/2013 3:54,280,warmer,rechargable gadget warmer,127.27
industrial-strength,contraption,12/18/2013 9:01,518,,industrial-strength contraption,750
matte,device,7/4/2013 20:04,1866,refill,matte device refill,50
organic,device,7/10/2013 2:25,3442,,organic device,75
prize-winning,tool,3/14/2013 15:56,2344,,prize-winning tool,27.5
fuzzy,mechanism,4/22/2013 4:35,3720,opener,fuzzy mechanism opener,7.5
rechargable,apparatus,5/10/2013 7:59,67,,rechargable apparatus,390
extra-strength,instrument,7/1/2013 19:31,1633,charger,extra-strength instrument charger,17.6
extra-strength,mechanism,3/27/2013 12:41,2623,,extra-strength mechanism,30
rechargable,contraption,6/16/2013 17:14,1144,,rechargable contraption,325
rechargable,gadget,5/6/2013 4:53,3842,how-to-manual,rechargable gadget how-to-manual,0
extra-strength,dongle,6/8/2013 8:55,3615,refill,extra-strength dongle refill,48
organic,tool,6/24/2013 15:10,1606,warmer,organic tool warmer,41.25
,mechanism,12/16/2013 12:01,944,,mechanism,15
reflective,widget,9/21/2013 22:52,1137,carrying_case,reflective widget carrying_case,2.34
analog,contraption,2/11/2014 22:50,230,storage_unit,analog contraption storage_unit,562.5
,contraption,9/7/2013 15:14,1055,,contraption,250
digital,device,9/5/2013 19:05,3746,cleaner,digital device cleaner,33
extra-strength,device,5/31/2013 4:39,2432,refill,extra-strength device refill,80
analog,tool,12/22/2013 20:12,3449,warmer,analog tool warmer,24.75
aerodynamic,contraption,2/12/2014 12:20,1903,opener,aerodynamic contraption opener,175
analog,instrument,6/3/2013 23:32,594,charger,analog instrument charger,7.92
prize-winning,instrument,3/7/2013 8:12,3808,opener,prize-winning instrument opener,24.2
fuzzy,instrument,1/1/2014 21:29,3700,opener,fuzzy instrument opener,22
,module,4/18/2013 13:58,3792,warmer,module warmer,110
,mechanism,2/7/2014 23:56,3014,,mechanism,15
organic,device,7/9/2013 3:11,502,wrapper,organic device wrapper,30
rechargable,tool,12/29/2013 3:22,538,wrapper,rechargable tool wrapper,13
,module,12/8/2013 23:14,3876,refill,module refill,80
rechargable,instrument,12/23/2013 13:20,557,storage_unit,rechargable instrument storage_unit,143
reflective,mechanism,3/8/2013 21:21,1485,carrying_case,reflective mechanism carrying_case,11.7
glossy,instrument,12/18/2013 10:55,392,warmer,glossy instrument warmer,58.08
analog,widget,10/20/2013 7:14,2754,,analog widget,2.7
rechargable,dongle,2/18/2014 3:08,3987,,rechargable dongle,39
,module,6/5/2013 15:18,3074,storage_unit,module storage_unit,250
glossy,module,2/14/2014 10:47,3101,opener,glossy module opener,60
,module,5/16/2013 3:20,2943,,module,100
analog,widget,7/2/2013 7:05,1360,charger,analog widget charger,0.54
aerodynamic,apparatus,2/19/2014 15:28,2035,,aerodynamic apparatus,420
industrial-strength,tool,4/15/2013 4:41,1273,cleaner,industrial-strength tool cleaner,45
extra-strength,instrument,1/23/2014 6:06,1704,,extra-strength instrument,88
glossy,widget,5/29/2013 1:22,1936,,glossy widget,3.6
reflective,device,8/5/2013 5:43,759,,reflective device,65
rechargable,device,9/9/2013 20:11,3639,warmer,rechargable device warmer,71.5
matte,tool,2/19/2014 16:30,1384,charger,matte tool charger,6.25
fuzzy,widget,8/18/2013 8:08,3260,refill,fuzzy widget refill,2.4
miniature,mechanism,8/21/2013 20:31,1250,carrying_case,miniature mechanism carrying_case,4.95
rechargable,mechanism,9/28/2013 16:21,1364,,rechargable mechanism,19.5
analog,apparatus,5/1/2013 12:39,2255,,analog apparatus,270
matte,apparatus,2/4/2014 2:18,1067,,matte apparatus,375
matte,apparatus,7/2/2013 3:36,1114,,matte apparatus,375
rechargable,module,7/22/2013 0:04,3161,carrying_case,rechargable module carrying_case,78
prize-winning,device,1/23/2014 11:30,3672,opener,prize-winning device opener,27.5
industrial-strength,mechanism,1/25/2014 22:30,3675,carrying_case,industrial-strength mechanism carrying_case,27
aerodynamic,dongle,2/8/2014 0:42,2912,,aerodynamic dongle,42
matte,dongle,4/17/2013 6:33,2343,carrying_case,matte dongle carrying_case,22.5
organic,instrument,10/1/2013 20:26,3192,storage_unit,organic instrument storage_unit,165
industrial-strength,instrument,3/12/2013 14:50,827,,industrial-strength instrument,132
glossy,apparatus,12/27/2013 19:25,1545,how-to-manual,glossy apparatus how-to-manual,0
,widget,3/24/2013 9:04,3033,opener,widget opener,1.5
digital,gadget,6/3/2013 1:35,3618,cleaner,digital gadget cleaner,58.74
glossy,tool,5/20/2013 3:14,1536,cleaner,glossy tool cleaner,18
glossy,contraption,7/22/2013 18:18,2422,,glossy contraption,300
prize-winning,instrument,10/31/2013 21:24,3630,refill,prize-winning instrument refill,38.72
reflective,device,8/8/2013 20:33,2903,how-to-manual,reflective device how-to-manual,0
reflective,widget,8/23/2013 13:24,940,,reflective widget,3.9
industrial-strength,apparatus,7/28/2013 6:30,2326,,industrial-strength apparatus,900
,gadget,6/18/2013 3:04,2268,,gadget,89
digital,apparatus,9/19/2013 20:22,3629,opener,digital apparatus opener,165
glossy,contraption,6/30/2013 15:56,630,,glossy contraption,300
glossy,dongle,3/22/2013 20:28,2013,warmer,glossy dongle warmer,39.6
miniature,widget,4/25/2013 7:42,3190,charger,miniature widget charger,0.33
analog,module,8/15/2013 5:51,3388,storage_unit,analog module storage_unit,225
glossy,widget,3/11/2013 16:37,3209,,glossy widget,3.6
industrial-strength,tool,5/28/2013 8:42,3741,storage_unit,industrial-strength tool storage_unit,187.5
glossy,device,6/12/2013 13:36,1665,storage_unit,glossy device storage_unit,150
,mechanism,7/2/2013 22:35,881,wrapper,mechanism wrapper,6
rechargable,device,2/4/2014 12:36,2814,,rechargable device,65
reflective,tool,12/28/2013 9:36,2021,charger,reflective tool charger,6.5
matte,widget,4/23/2013 21:52,1772,refill,matte widget refill,3
rechargable,gadget,10/8/2013 1:33,1281,storage_unit,rechargable gadget storage_unit,289.25
rechargable,widget,5/11/2013 15:27,3772,how-to-manual,rechargable widget how-to-manual,0
,gadget,10/5/2013 19:25,2775,wrapper,gadget wrapper,35.6
miniature,dongle,9/27/2013 4:58,1207,storage_unit,miniature dongle storage_unit,41.25
organic,instrument,5/7/2013 9:20,3497,storage_unit,organic instrument storage_unit,165
industrial-strength,widget,10/13/2013 1:30,1295,,industrial-strength widget,9
miniature,widget,3/28/2013 21:27,2341,,miniature widget,1.65
,tool,12/9/2013 23:19,516,warmer,tool warmer,27.5
glossy,instrument,5/1/2013 14:36,2313,storage_unit,glossy instrument storage_unit,132
prize-winning,module,1/29/2014 23:01,3534,charger,prize-winning module charger,22
glossy,widget,1/23/2014 18:12,1600,,glossy widget,3.6
prize-winning,mechanism,7/9/2013 9:30,3445,carrying_case,prize-winning mechanism carrying_case,9.9
industrial-strength,device,2/8/2014 8:12,273,storage_unit,industrial-strength device storage_unit,375
extra-strength,instrument,10/20/2013 12:01,3927,charger,extra-strength instrument charger,17.6
miniature,instrument,2/5/2014 7:47,1572,,miniature instrument,24.2
fuzzy,module,2/11/2014 19:01,2520,charger,fuzzy module charger,20
matte,tool,3/13/2013 4:10,1068,opener,matte tool opener,15.625
,dongle,9/2/2013 20:41,1505,,dongle,30
extra-strength,widget,3/2/2013 21:39,2172,,extra-strength widget,6
aerodynamic,gadget,8/1/2013 11:16,2162,carrying_case,aerodynamic gadget carrying_case,74.76
industrial-strength,widget,2/6/2014 11:22,2293,storage_unit,industrial-strength widget storage_unit,22.5
prize-winning,mechanism,9/14/2013 10:08,3384,,prize-winning mechanism,16.5
fuzzy,dongle,2/22/2013 16:36,233,opener,fuzzy dongle opener,15
,tool,12/4/2013 3:19,1082,how-to-manual,tool how-to-manual,0
digital,gadget,6/1/2013 7:47,2340,,digital gadget,97.9
,contraption,9/12/2013 22:05,1533,storage_unit,contraption storage_unit,625
extra-strength,gadget,9/25/2013 23:59,378,,extra-strength gadget,178
,widget,7/29/2013 9:46,146,refill,widget refill,2.4
glossy,widget,7/12/2013 18:40,1437,how-to-manual,glossy widget how-to-manual,0
prize-winning,apparatus,10/25/2013 22:47,3797,warmer,prize-winning apparatus warmer,363
miniature,contraption,1/7/2014 19:47,1686,storage_unit,miniature contraption storage_unit,343.75
matte,dongle,12/5/2013 1:04,413,how-to-manual,matte dongle how-to-manual,0
aerodynamic,dongle,5/31/2013 2:09,3762,,aerodynamic dongle,42
aerodynamic,mechanism,6/27/2013 12:51,3946,storage_unit,aerodynamic mechanism storage_unit,52.5
,module,6/26/2013 22:58,1890,,module,100
fuzzy,mechanism,2/25/2013 14:26,3195,warmer,fuzzy mechanism warmer,16.5
digital,tool,4/29/2013 6:22,1627,charger,digital tool charger,5.5
industrial-strength,instrument,7/20/2013 8:57,612,carrying_case,industrial-strength instrument carrying_case,79.2
,tool,2/25/2013 4:54,39,,tool,25
,mechanism,11/21/2013 4:00,3366,charger,mechanism charger,3
prize-winning,widget,7/24/2013 1:09,97,storage_unit,prize-winning widget storage_unit,8.25
extra-strength,tool,7/10/2013 9:16,397,charger,extra-strength tool charger,10
fuzzy,mechanism,2/5/2014 17:54,72,cleaner,fuzzy mechanism cleaner,9
rechargable,module,10/15/2013 15:17,2884,opener,rechargable module opener,65
rechargable,module,12/5/2013 9:11,3520,,rechargable module,130
prize-winning,gadget,12/14/2013 1:22,3084,,prize-winning gadget,97.9
analog,contraption,4/1/2013 8:41,3146,charger,analog contraption charger,45
extra-strength,dongle,4/28/2013 16:50,3285,carrying_case,extra-strength dongle carrying_case,36
prize-winning,contraption,8/16/2013 19:00,3035,,prize-winning contraption,275
aerodynamic,widget,7/22/2013 11:37,2241,opener,aerodynamic widget opener,2.1
rechargable,instrument,2/11/2014 13:11,3651,carrying_case,rechargable instrument carrying_case,34.32
fuzzy,mechanism,2/27/2013 9:17,3513,storage_unit,fuzzy mechanism storage_unit,37.5
organic,contraption,4/3/2013 1:05,1852,,organic contraption,375
industrial-strength,tool,9/25/2013 2:46,3625,charger,industrial-strength tool charger,15
,mechanism,1/17/2014 23:01,237,warmer,mechanism warmer,16.5
,contraption,6/7/2013 11:12,784,,contraption,250
miniature,gadget,1/16/2014 3:48,1011,storage_unit,miniature gadget storage_unit,122.375
digital,contraption,12/14/2013 1:00,1870,,digital contraption,275
glossy,module,3/28/2013 18:57,1934,wrapper,glossy module wrapper,48
,apparatus,11/16/2013 14:26,1603,,apparatus,300
matte,module,5/2/2013 18:00,651,,matte module,125
fuzzy,apparatus,2/12/2014 2:10,196,,fuzzy apparatus,300
analog,apparatus,9/24/2013 15:44,3434,opener,analog apparatus opener,135
prize-winning,dongle,3/25/2013 7:38,411,,prize-winning dongle,33
,gadget,10/14/2013 11:15,541,charger,gadget charger,17.8
,contraption,8/15/2013 7:31,2112,,contraption,250
industrial-strength,device,3/16/2013 18:14,1935,cleaner,industrial-strength device cleaner,90
organic,device,7/27/2013 13:51,1509,refill,organic device refill,60
prize-winning,instrument,11/13/2013 20:55,2409,,prize-winning instrument,48.4
matte,mechanism,6/25/2013 15:50,946,,matte mechanism,18.75
,apparatus,10/4/2013 11:29,3777,cleaner,apparatus cleaner,180
miniature,module,1/25/2014 3:21,1166,storage_unit,miniature module storage_unit,137.5
industrial-strength,dongle,10/5/2013 14:41,2640,wrapper,industrial-strength dongle wrapper,36
extra-strength,mechanism,3/13/2013 12:18,3405,storage_unit,extra-strength mechanism storage_unit,75
industrial-strength,contraption,11/7/2013 2:09,1375,,industrial-strength contraption,750
rechargable,mechanism,9/22/2013 1:09,1944,cleaner,rechargable mechanism cleaner,11.7
rechargable,mechanism,7/2/2013 13:50,3423,,rechargable mechanism,19.5
rechargable,gadget,5/25/2013 18:46,3348,storage_unit,rechargable gadget storage_unit,289.25
analog,module,12/14/2013 1:36,2200,,analog module,90
glossy,widget,11/12/2013 1:32,1582,opener,glossy widget opener,1.8
analog,tool,9/21/2013 4:26,3381,wrapper,analog tool wrapper,9
glossy,mechanism,8/7/2013 22:15,3724,how-to-manual,glossy mechanism how-to-manual,0
industrial-strength,mechanism,8/14/2013 14:04,1283,charger,industrial-strength mechanism charger,9
analog,contraption,2/8/2014 5:52,869,cleaner,analog contraption cleaner,135
industrial-strength,tool,12/7/2013 22:22,207,,industrial-strength tool,75
digital,apparatus,8/14/2013 8:39,1863,warmer,digital apparatus warmer,363
rechargable,dongle,12/20/2013 7:15,3148,storage_unit,rechargable dongle storage_unit,97.5
extra-strength,widget,2/25/2013 1:58,1229,warmer,extra-strength widget warmer,6.6
aerodynamic,contraption,5/28/2013 19:18,1928,wrapper,aerodynamic contraption wrapper,140
digital,gadget,3/27/2013 13:54,3466,how-to-manual,digital gadget how-to-manual,0
analog,module,12/24/2013 2:14,3657,refill,analog module refill,72
miniature,device,2/20/2014 21:07,2359,,miniature device,27.5
organic,dongle,7/13/2013 9:50,137,refill,organic dongle refill,36
extra-strength,mechanism,7/4/2013 14:22,2795,how-to-manual,extra-strength mechanism how-to-manual,0
glossy,instrument,3/11/2013 14:55,1303,,glossy instrument,52.8
matte,tool,5/16/2013 19:08,3807,carrying_case,matte tool carrying_case,18.75
rechargable,gadget,6/2/2013 14:24,1089,warmer,rechargable gadget warmer,127.27
digital,gadget,4/2/2013 6:51,3650,,digital gadget,97.9
aerodynamic,widget,11/28/2013 8:50,2831,storage_unit,aerodynamic widget storage_unit,10.5
,tool,8/27/2013 1:46,1515,opener,tool opener,12.5
miniature,dongle,10/18/2013 12:47,2589,cleaner,miniature dongle cleaner,9.9
reflective,gadget,7/23/2013 4:00,3477,,reflective gadget,115.7
reflective,mechanism,2/11/2014 7:29,2504,charger,reflective mechanism charger,3.9
extra-strength,module,12/19/2013 1:12,2874,,extra-strength module,200
fuzzy,contraption,8/29/2013 12:58,1332,cleaner,fuzzy contraption cleaner,150
,module,1/5/2014 0:53,930,,module,100
aerodynamic,gadget,6/3/2013 5:42,935,,aerodynamic gadget,124.6
digital,dongle,3/27/2013 19:34,3574,storage_unit,digital dongle storage_unit,82.5
aerodynamic,widget,8/5/2013 6:29,347,,aerodynamic widget,4.2
aerodynamic,dongle,11/10/2013 13:45,269,,aerodynamic dongle,42
aerodynamic,apparatus,11/28/2013 0:53,1879,cleaner,aerodynamic apparatus cleaner,252
aerodynamic,widget,11/1/2013 2:32,3838,,aerodynamic widget,4.2
prize-winning,module,3/8/2013 14:50,2625,opener,prize-winning module opener,55
prize-winning,gadget,7/1/2013 12:23,2635,opener,prize-winning gadget opener,48.95
industrial-strength,gadget,9/21/2013 3:37,2176,,industrial-strength gadget,267
digital,dongle,9/30/2013 16:46,1215,,digital dongle,33
,gadget,2/2/2014 21:54,867,opener,gadget opener,44.5
digital,mechanism,11/8/2013 9:21,2710,opener,digital mechanism opener,8.25
miniature,dongle,10/2/2013 5:58,1294,,miniature dongle,16.5
rechargable,contraption,1/12/2014 4:08,2170,how-to-manual,rechargable contraption how-to-manual,0
analog,widget,4/10/2013 19:03,1490,carrying_case,analog widget carrying_case,1.62
fuzzy,mechanism,7/16/2013 7:24,2448,opener,fuzzy mechanism opener,7.5
analog,apparatus,11/9/2013 18:40,3352,refill,analog apparatus refill,216
digital,gadget,2/25/2013 8:41,3846,opener,digital gadget opener,48.95
analog,contraption,5/3/2013 1:36,2954,warmer,analog contraption warmer,247.5
matte,tool,6/22/2013 21:04,2462,warmer,matte tool warmer,34.375
reflective,contraption,5/28/2013 11:07,2515,cleaner,reflective contraption cleaner,195
,device,3/4/2013 16:29,2379,wrapper,device wrapper,20
aerodynamic,device,2/10/2014 18:20,2483,warmer,aerodynamic device warmer,77
fuzzy,apparatus,2/17/2014 10:07,2764,warmer,fuzzy apparatus warmer,330
miniature,module,7/3/2013 22:01,301,,miniature module,55
fuzzy,instrument,11/17/2013 0:39,2881,,fuzzy instrument,44
organic,widget,4/30/2013 0:12,3563,refill,organic widget refill,3.6
fuzzy,dongle,7/1/2013 2:46,2673,,fuzzy dongle,30
,apparatus,5/31/2013 8:55,2950,charger,apparatus charger,60
extra-strength,tool,10/26/2013 4:06,2995,how-to-manual,extra-strength tool how-to-manual,0
,mechanism,4/9/2013 20:35,1353,,mechanism,15
matte,device,3/26/2013 1:52,2122,opener,matte device opener,31.25
industrial-strength,contraption,7/24/2013 7:34,3937,wrapper,industrial-strength contraption wrapper,300
glossy,gadget,6/27/2013 5:08,768,,glossy gadget,106.8
reflective,gadget,11/25/2013 2:10,1338,refill,reflective gadget refill,92.56
analog,module,7/20/2013 3:42,3365,warmer,analog module warmer,99
extra-strength,gadget,2/13/2014 14:47,824,,extra-strength gadget,178
,apparatus,10/5/2013 17:54,2227,refill,apparatus refill,240
extra-strength,instrument,11/1/2013 18:49,316,,extra-strength instrument,88
organic,gadget,11/10/2013 21:44,179,charger,organic gadget charger,26.7
reflective,widget,10/26/2013 16:20,1420,charger,reflective widget charger,0.78
miniature,contraption,1/25/2014 10:23,1513,opener,miniature contraption opener,68.75
aerodynamic,tool,9/28/2013 0:17,2199,carrying_case,aerodynamic tool carrying_case,21
reflective,instrument,9/8/2013 9:19,2507,warmer,reflective instrument warmer,62.92
organic,widget,10/21/2013 21:21,893,,organic widget,4.5
reflective,apparatus,7/30/2013 5:15,1843,,reflective apparatus,390
fuzzy,mechanism,8/10/2013 12:13,700,,fuzzy mechanism,15
fuzzy,apparatus,10/23/2013 16:33,2696,wrapper,fuzzy apparatus wrapper,120
glossy,device,7/31/2013 14:40,18,refill,glossy device refill,48
glossy,dongle,8/8/2013 6:30,3785,,glossy dongle,36
extra-strength,tool,3/11/2013 8:26,2275,charger,extra-strength tool charger,10
,module,1/5/2014 6:22,1184,carrying_case,module carrying_case,60
organic,device,11/7/2013 3:01,2042,,organic device,75
analog,contraption,4/5/2013 16:02,3197,,analog contraption,225
prize-winning,tool,8/23/2013 17:27,2044,,prize-winning tool,27.5
fuzzy,gadget,8/12/2013 22:03,416,how-to-manual,fuzzy gadget how-to-manual,0
,mechanism,12/15/2013 17:47,1319,charger,mechanism charger,3
reflective,instrument,9/2/2013 7:23,3898,,reflective instrument,57.2
matte,mechanism,4/26/2013 10:38,1170,storage_unit,matte mechanism storage_unit,46.875
organic,module,12/26/2013 4:37,1562,,organic module,150
aerodynamic,device,1/11/2014 16:53,390,,aerodynamic device,70
glossy,mechanism,1/2/2014 6:00,171,wrapper,glossy mechanism wrapper,7.2
glossy,module,11/25/2013 14:49,1850,,glossy module,120
fuzzy,contraption,1/7/2014 19:13,3476,opener,fuzzy contraption opener,125
rechargable,instrument,11/28/2013 12:04,1247,charger,rechargable instrument charger,11.44
miniature,tool,9/30/2013 19:51,1475,opener,miniature tool opener,6.875
miniature,widget,8/15/2013 3:31,190,,miniature widget,1.65
,apparatus,11/1/2013 22:29,3558,,apparatus,300
glossy,gadget,8/27/2013 4:49,1246,,glossy gadget,106.8
miniature,dongle,10/8/2013 16:06,2106,opener,miniature dongle opener,8.25
rechargable,module,1/28/2014 10:02,3039,,rechargable module,130
